no,topik,subtopik,soal,jawaban,contoh,konteks,link_sumber_buku,soal_len,jawaban_len
118,"hubungan antara gaya, gerak, energi, dan fungsinya",pesawat sederhana,apa itu pesawat sederhana?,"pesawat sederhana adalah alat yang mempermudah pekerjaan manusia. alat ini membantu manusia mengangkat, memindahkan, memotong, atau menaikkan benda dengan usaha yang lebih kecil.","gunting, jungkat-jungkit, katrol, dan tangga adalah contoh pesawat sederhana yang sering digunakan dalam kehidupan sehari-hari. alat seperti ini membantu pekerjaan menjadi lebih ringan, lebih cepat, dan lebih mudah dilakukan.","pesawat sederhana digunakan untuk memudahkan pekerjaan manusia dengan usaha yang lebih kecil. alat ini membuat kegiatan mengangkat, memindahkan, memotong, atau menarik benda menjadi lebih ringan.",https: www.omahbse.com ktsp file sd-5 ipa 013,4,23
119,"hubungan antara gaya, gerak, energi, dan fungsinya",pesawat sederhana,bisakah kamu menjelaskan pesawat sederhana?,"pesawat sederhana adalah alat yang mempermudah pekerjaan manusia. alat ini membantu manusia mengangkat, memindahkan, memotong, atau menaikkan benda dengan usaha yang lebih kecil.","gunting, jungkat-jungkit, katrol, dan tangga adalah contoh pesawat sederhana yang sering digunakan dalam kehidupan sehari-hari. alat seperti ini membantu pekerjaan menjadi lebih ringan, lebih cepat, dan lebih mudah dilakukan.","pesawat sederhana digunakan untuk memudahkan pekerjaan manusia dengan usaha yang lebih kecil. alat ini membuat kegiatan mengangkat, memindahkan, memotong, atau menarik benda menjadi lebih ringan.",https: www.omahbse.com ktsp file sd-5 ipa 013,5,23
120,"hubungan antara gaya, gerak, energi, dan fungsinya",pesawat sederhana,kenapa gunting disebut pengungkit jenis pertama?,gunting disebut pengungkit jenis pertama karena titik tumpunya berada di antara kuasa dan beban. susunan ini membuat gunting lebih mudah digunakan untuk memotong benda seperti kertas atau kain.,"saat memotong kertas dengan gunting, titik putarnya ada di tengah dan kita memberi gaya di bagian pegangan. alat seperti ini membantu pekerjaan menjadi lebih ringan, lebih cepat, dan lebih mudah dilakukan.","pesawat sederhana digunakan untuk memudahkan pekerjaan manusia dengan usaha yang lebih kecil. alat ini membuat kegiatan mengangkat, memindahkan, memotong, atau menarik benda menjadi lebih ringan.",https: www.omahbse.com ktsp file sd-5 ipa 013,6,28
121,"hubungan antara gaya, gerak, energi, dan fungsinya",pesawat sederhana,apa alasan gunting disebut pengungkit jenis pertama?,gunting disebut pengungkit jenis pertama karena titik tumpunya berada di antara kuasa dan beban. susunan ini membuat gunting lebih mudah digunakan untuk memotong benda seperti kertas atau kain.,"saat memotong kertas dengan gunting, titik putarnya ada di tengah dan kita memberi gaya di bagian pegangan. alat seperti ini membantu pekerjaan menjadi lebih ringan, lebih cepat, dan lebih mudah dilakukan.","pesawat sederhana digunakan untuk memudahkan pekerjaan manusia dengan usaha yang lebih kecil. alat ini membuat kegiatan mengangkat, memindahkan, memotong, atau menarik benda menjadi lebih ringan.",https: www.omahbse.com ktsp file sd-5 ipa 013,7,28
122,"hubungan antara gaya, gerak, energi, dan fungsinya",pesawat sederhana,mengapa gunting disebut pengungkit jenis pertama?,gunting disebut pengungkit jenis pertama karena titik tumpunya berada di antara kuasa dan beban. susunan ini membuat gunting lebih mudah digunakan untuk memotong benda seperti kertas atau kain.,"saat memotong kertas dengan gunting, titik putarnya ada di tengah dan kita memberi gaya di bagian pegangan. alat seperti ini membantu pekerjaan menjadi lebih ringan, lebih cepat, dan lebih mudah dilakukan.","pesawat sederhana digunakan untuk memudahkan pekerjaan manusia dengan usaha yang lebih kecil. alat ini membuat kegiatan mengangkat, memindahkan, memotong, atau menarik benda menjadi lebih ringan.",https: www.omahbse.com ktsp file sd-5 ipa 013,6,28
123,"hubungan antara gaya, gerak, energi, dan fungsinya",pesawat sederhana,bagaimana bidang miring membantu memindahkan benda berat?,"bidang miring membantu memindahkan benda berat karena membuat gaya yang dibutuhkan menjadi lebih kecil. walaupun jaraknya lebih panjang, pekerjaan terasa lebih ringan dan aman dilakukan.","jalan berkelok di pegunungan dibuat agar mobil lebih mudah naik ke tempat yang tinggi. alat seperti ini membantu pekerjaan menjadi lebih ringan, lebih cepat, dan lebih mudah dilakukan.","pesawat sederhana digunakan untuk memudahkan pekerjaan manusia dengan usaha yang lebih kecil. alat ini membuat kegiatan mengangkat, memindahkan, memotong, atau menarik benda menjadi lebih ringan.",https: www.omahbse.com ktsp file sd-5 ipa 013,7,25
124,"hubungan antara gaya, gerak, energi, dan fungsinya",pesawat sederhana,jelaskan bagaimana bidang miring membantu memindahkan benda berat.,"bidang miring membantu memindahkan benda berat karena membuat gaya yang dibutuhkan menjadi lebih kecil. walaupun jaraknya lebih panjang, pekerjaan terasa lebih ringan dan aman dilakukan.","jalan berkelok di pegunungan dibuat agar mobil lebih mudah naik ke tempat yang tinggi. alat seperti ini membantu pekerjaan menjadi lebih ringan, lebih cepat, dan lebih mudah dilakukan.","pesawat sederhana digunakan untuk memudahkan pekerjaan manusia dengan usaha yang lebih kecil. alat ini membuat kegiatan mengangkat, memindahkan, memotong, atau menarik benda menjadi lebih ringan.",https: www.omahbse.com ktsp file sd-5 ipa 013,8,25
125,"hubungan antara gaya, gerak, energi, dan fungsinya",pesawat sederhana,ceritakan bagaimana bidang miring membantu memindahkan benda berat.,"bidang miring membantu memindahkan benda berat karena membuat gaya yang dibutuhkan menjadi lebih kecil. walaupun jaraknya lebih panjang, pekerjaan terasa lebih ringan dan aman dilakukan.","jalan berkelok di pegunungan dibuat agar mobil lebih mudah naik ke tempat yang tinggi. alat seperti ini membantu pekerjaan menjadi lebih ringan, lebih cepat, dan lebih mudah dilakukan.","pesawat sederhana digunakan untuk memudahkan pekerjaan manusia dengan usaha yang lebih kecil. alat ini membuat kegiatan mengangkat, memindahkan, memotong, atau menarik benda menjadi lebih ringan.",https: www.omahbse.com ktsp file sd-5 ipa 013,8,25
126,"hubungan antara gaya, gerak, energi, dan fungsinya",gaya gravitasi,mengapa buah jatuh ke tanah?,buah jatuh ke tanah karena adanya gaya gravitasi bumi yang menarik benda ke bawah.,"saat buah lepas dari tangkainya, buah langsung jatuh dan tidak melayang di udara.",gaya gravitasi membuat semua benda yang dilepas dari atas bergerak ke bawah.,https: www.omahbse.com ktsp file sd-5 ipa 013,5,14
127,"hubungan antara gaya, gerak, energi, dan fungsinya",gaya gravitasi,kenapa buah jatuh ke tanah?,buah jatuh ke tanah karena adanya gaya gravitasi bumi yang menarik benda ke bawah.,"saat buah lepas dari tangkainya, buah langsung jatuh dan tidak melayang di udara.",gaya gravitasi membuat semua benda yang dilepas dari atas bergerak ke bawah.,https: www.omahbse.com ktsp file sd-5 ipa 013,5,14
128,"hubungan antara gaya, gerak, energi, dan fungsinya",gaya gravitasi,bagaimana buah jatuh ke tanah?,buah jatuh ke tanah karena adanya gaya gravitasi bumi yang menarik benda ke bawah.,"saat buah lepas dari tangkainya, buah langsung jatuh dan tidak melayang di udara.",gaya gravitasi membuat semua benda yang dilepas dari atas bergerak ke bawah.,https: www.omahbse.com ktsp file sd-5 ipa 013,5,14
129,"hubungan antara gaya, gerak, energi, dan fungsinya",gaya gesek,apa yang menyebabkan benda yang digeser akhirnya berhenti?,benda yang digeser akhirnya berhenti karena adanya gaya gesek yang melawan arah gerak benda.,kotak yang ditarik di lantai kasar akan lebih cepat berhenti dibandingkan di lantai licin.,gaya gesek membuat gerakan benda menjadi lambat lalu berhenti.,https: www.omahbse.com ktsp file sd-5 ipa 013,8,14
130,"hubungan antara gaya, gerak, energi, dan fungsinya",gaya magnet,mengapa magnet bisa menarik paku?,magnet bisa menarik paku karena paku termasuk benda magnetis.,"ketika magnet didekatkan ke kumpulan paku kecil, paku akan menempel pada magnet.",sifat tarik-menarik magnet bermanfaat untuk banyak alat dalam kehidupan sehari-hari.,https: www.omahbse.com ktsp file sd-5 ipa 013,5,9
131,"hubungan antara gaya, gerak, energi, dan fungsinya",gaya magnet,kenapa magnet bisa menarik paku?,magnet bisa menarik paku karena paku termasuk benda magnetis.,"ketika magnet didekatkan ke kumpulan paku kecil, paku akan menempel pada magnet.",sifat tarik-menarik magnet bermanfaat untuk banyak alat dalam kehidupan sehari-hari.,https: www.omahbse.com ktsp file sd-5 ipa 013,5,9
132,"hubungan antara gaya, gerak, energi, dan fungsinya",gaya magnet,bagaimana magnet bisa menarik paku?,magnet bisa menarik paku karena paku termasuk benda magnetis.,"ketika magnet didekatkan ke kumpulan paku kecil, paku akan menempel pada magnet.",sifat tarik-menarik magnet bermanfaat untuk banyak alat dalam kehidupan sehari-hari.,https: www.omahbse.com ktsp file sd-5 ipa 013,5,9
133,"hubungan antara gaya, gerak, energi, dan fungsinya",pesawat sederhana,apa yang dimaksud pesawat sederhana?,pesawat sederhana adalah alat yang mempermudah pekerjaan manusia.,"gunting, jungkat-jungkit, dan bidang miring adalah contoh pesawat sederhana.","alat ini membantu manusia mengangkat, memotong, atau memindahkan benda dengan lebih mudah.",https: www.omahbse.com ktsp file sd-5 ipa 013,5,8
134,"hubungan antara gaya, gerak, energi, dan fungsinya",pesawat sederhana,apa itu pesawat sederhana?,pesawat sederhana adalah alat yang mempermudah pekerjaan manusia.,"gunting, jungkat-jungkit, dan bidang miring adalah contoh pesawat sederhana.","alat ini membantu manusia mengangkat, memotong, atau memindahkan benda dengan lebih mudah.",https: www.omahbse.com ktsp file sd-5 ipa 013,4,8
135,"hubungan antara gaya, gerak, energi, dan fungsinya",pesawat sederhana,bagaimana pesawat sederhana?,pesawat sederhana adalah alat yang mempermudah pekerjaan manusia.,"gunting, jungkat-jungkit, dan bidang miring adalah contoh pesawat sederhana.","alat ini membantu manusia mengangkat, memotong, atau memindahkan benda dengan lebih mudah.",https: www.omahbse.com ktsp file sd-5 ipa 013,3,8
136,"hubungan antara gaya, gerak, energi, dan fungsinya",pesawat sederhana,mengapa gunting disebut pengungkit jenis pertama?,gunting disebut pengungkit jenis pertama karena titik tumpunya berada di antara kuasa dan beban.,"saat memotong kertas, bagian tengah gunting menjadi titik putar yang membantu pekerjaan kita.",susunan tuas pada gunting membuat benda lebih mudah dipotong.,https: www.omahbse.com ktsp file sd-5 ipa 013,6,14
137,"hubungan antara gaya, gerak, energi, dan fungsinya",pesawat sederhana,kenapa gunting disebut pengungkit jenis pertama?,gunting disebut pengungkit jenis pertama karena titik tumpunya berada di antara kuasa dan beban.,"saat memotong kertas, bagian tengah gunting menjadi titik putar yang membantu pekerjaan kita.",susunan tuas pada gunting membuat benda lebih mudah dipotong.,https: www.omahbse.com ktsp file sd-5 ipa 013,6,14
138,"hubungan antara gaya, gerak, energi, dan fungsinya",pesawat sederhana,bagaimana gunting disebut pengungkit jenis pertama?,gunting disebut pengungkit jenis pertama karena titik tumpunya berada di antara kuasa dan beban.,"saat memotong kertas, bagian tengah gunting menjadi titik putar yang membantu pekerjaan kita.",susunan tuas pada gunting membuat benda lebih mudah dipotong.,https: www.omahbse.com ktsp file sd-5 ipa 013,6,14
139,organ tubuh manusia dan hewan,pernapasan manusia,kenapa manusia harus bernapas?,"manusia harus bernapas karena tubuh membutuhkan oksigen untuk menghasilkan energi. oksigen digunakan untuk membakar sari-sari makanan di dalam tubuh sehingga kita bisa beraktivitas seperti berjalan, berpikir, dan belajar. selain itu, bernapas juga membantu mengeluarkan karbon dioksida yang tidak dibutuhkan tubuh.","saat berlari, napas menjadi lebih cepat karena tubuh membutuhkan lebih banyak oksigen untuk menghasilkan energi tambahan. ini biasanya terlihat saat seseorang berlari, bermain, atau naik tangga, sehingga napas menjadi lebih cepat dan dalam. hal ini menunjukkan bahwa tubuh sedang membutuhkan lebih banyak oksigen.","pernapasan adalah proses penting bagi kelangsungan hidup manusia karena menyediakan oksigen dan membuang karbon dioksida dari tubuh. dalam materi ini, manusia bernapas dengan paru-paru melalui hidung, tenggorokan, bronkus, bronkiolus, dan alveolus. proses ini penting karena tubuh perlu oksigen untuk menghasilkan energi dan membuang karbon dioksida.",https: www.omahbse.com ktsp file sd-5 ipa 013,4,40
140,organ tubuh manusia dan hewan,pernapasan manusia,apa alasan manusia harus bernapas?,"manusia harus bernapas karena tubuh membutuhkan oksigen untuk menghasilkan energi. oksigen digunakan untuk membakar sari-sari makanan di dalam tubuh sehingga kita bisa beraktivitas seperti berjalan, berpikir, dan belajar. selain itu, bernapas juga membantu mengeluarkan karbon dioksida yang tidak dibutuhkan tubuh.","saat berlari, napas menjadi lebih cepat karena tubuh membutuhkan lebih banyak oksigen untuk menghasilkan energi tambahan. ini biasanya terlihat saat seseorang berlari, bermain, atau naik tangga, sehingga napas menjadi lebih cepat dan dalam. hal ini menunjukkan bahwa tubuh sedang membutuhkan lebih banyak oksigen.","pernapasan adalah proses penting bagi kelangsungan hidup manusia karena menyediakan oksigen dan membuang karbon dioksida dari tubuh. dalam materi ini, manusia bernapas dengan paru-paru melalui hidung, tenggorokan, bronkus, bronkiolus, dan alveolus. proses ini penting karena tubuh perlu oksigen untuk menghasilkan energi dan membuang karbon dioksida.",https: www.omahbse.com ktsp file sd-5 ipa 013,5,40
141,organ tubuh manusia dan hewan,pernapasan manusia,mengapa manusia harus bernapas?,"manusia harus bernapas karena tubuh membutuhkan oksigen untuk menghasilkan energi. oksigen digunakan untuk membakar sari-sari makanan di dalam tubuh sehingga kita bisa beraktivitas seperti berjalan, berpikir, dan belajar. selain itu, bernapas juga membantu mengeluarkan karbon dioksida yang tidak dibutuhkan tubuh.","saat berlari, napas menjadi lebih cepat karena tubuh membutuhkan lebih banyak oksigen untuk menghasilkan energi tambahan. ini biasanya terlihat saat seseorang berlari, bermain, atau naik tangga, sehingga napas menjadi lebih cepat dan dalam. hal ini menunjukkan bahwa tubuh sedang membutuhkan lebih banyak oksigen.","pernapasan adalah proses penting bagi kelangsungan hidup manusia karena menyediakan oksigen dan membuang karbon dioksida dari tubuh. dalam materi ini, manusia bernapas dengan paru-paru melalui hidung, tenggorokan, bronkus, bronkiolus, dan alveolus. proses ini penting karena tubuh perlu oksigen untuk menghasilkan energi dan membuang karbon dioksida.",https: www.omahbse.com ktsp file sd-5 ipa 013,4,40
142,organ tubuh manusia dan hewan,pernapasan manusia,apa yang terjadi kalau manusia berhenti bernapas beberapa menit?,"jika manusia berhenti bernapas, tubuh tidak mendapatkan oksigen. akibatnya, otak dan organ tubuh lainnya tidak bisa bekerja dengan baik. dalam beberapa menit saja, hal ini bisa menyebabkan pingsan bahkan kematian karena tubuh kekurangan oksigen.","saat menarik napas dalam, udara terasa masuk lewat hidung, turun ke dada, lalu paru-paru mengembang. hal ini bisa dirasakan pada keadaan darurat, misalnya saat seseorang pingsan atau tenggelam dan tidak segera mendapat udara. tanpa oksigen, organ tubuh tidak dapat bekerja dengan baik.","sistem pernapasan manusia bekerja berurutan agar udara dapat masuk, diproses, dan digunakan tubuh secara efisien. dalam materi ini, manusia bernapas dengan paru-paru melalui hidung, tenggorokan, bronkus, bronkiolus, dan alveolus. proses ini penting karena tubuh perlu oksigen untuk menghasilkan energi dan membuang karbon dioksida.",https: www.omahbse.com ktsp file sd-5 ipa 013,9,34
143,organ tubuh manusia dan hewan,pernapasan manusia,apa akibatnya jika manusia berhenti bernapas beberapa menit?,"jika manusia berhenti bernapas, tubuh tidak mendapatkan oksigen. akibatnya, otak dan organ tubuh lainnya tidak bisa bekerja dengan baik. dalam beberapa menit saja, hal ini bisa menyebabkan pingsan bahkan kematian karena tubuh kekurangan oksigen.","saat menarik napas dalam, udara terasa masuk lewat hidung, turun ke dada, lalu paru-paru mengembang. hal ini bisa dirasakan pada keadaan darurat, misalnya saat seseorang pingsan atau tenggelam dan tidak segera mendapat udara. tanpa oksigen, organ tubuh tidak dapat bekerja dengan baik.","sistem pernapasan manusia bekerja berurutan agar udara dapat masuk, diproses, dan digunakan tubuh secara efisien. dalam materi ini, manusia bernapas dengan paru-paru melalui hidung, tenggorokan, bronkus, bronkiolus, dan alveolus. proses ini penting karena tubuh perlu oksigen untuk menghasilkan energi dan membuang karbon dioksida.",https: www.omahbse.com ktsp file sd-5 ipa 013,8,34
144,organ tubuh manusia dan hewan,pernapasan manusia,bagaimana kondisi jika manusia berhenti bernapas beberapa menit?,"jika manusia berhenti bernapas, tubuh tidak mendapatkan oksigen. akibatnya, otak dan organ tubuh lainnya tidak bisa bekerja dengan baik. dalam beberapa menit saja, hal ini bisa menyebabkan pingsan bahkan kematian karena tubuh kekurangan oksigen.","saat menarik napas dalam, udara terasa masuk lewat hidung, turun ke dada, lalu paru-paru mengembang. hal ini bisa dirasakan pada keadaan darurat, misalnya saat seseorang pingsan atau tenggelam dan tidak segera mendapat udara. tanpa oksigen, organ tubuh tidak dapat bekerja dengan baik.","sistem pernapasan manusia bekerja berurutan agar udara dapat masuk, diproses, dan digunakan tubuh secara efisien. dalam materi ini, manusia bernapas dengan paru-paru melalui hidung, tenggorokan, bronkus, bronkiolus, dan alveolus. proses ini penting karena tubuh perlu oksigen untuk menghasilkan energi dan membuang karbon dioksida.",https: www.omahbse.com ktsp file sd-5 ipa 013,8,34
145,organ tubuh manusia dan hewan,pernapasan manusia,gimana sih jalur udara dari luar sampai ke paru-paru?,"udara masuk melalui hidung, lalu melewati tenggorokan, bronkus, dan akhirnya sampai ke paru-paru. di dalam paru-paru, udara masuk ke alveolus yang merupakan tempat pertukaran oksigen dan karbon dioksida. di sinilah oksigen masuk ke darah dan karbon dioksida dikeluarkan.","saat menarik napas dalam, udara masuk sampai paru-paru. misalnya saat kita menarik napas, udara masuk melalui hidung lalu bergerak ke dada sampai paru-paru bekerja. proses ini terjadi berurutan agar oksigen bisa masuk dengan baik.","sistem pernapasan terdiri dari beberapa organ yang saling terhubung. dalam materi ini, manusia bernapas dengan paru-paru melalui hidung, tenggorokan, bronkus, bronkiolus, dan alveolus. proses ini penting karena tubuh perlu oksigen untuk menghasilkan energi dan membuang karbon dioksida.",https: www.omahbse.com ktsp file sd-5 ipa 013,9,38
146,organ tubuh manusia dan hewan,pernapasan manusia,bagaimana jalur udara dari luar sampai ke paru-paru?,"udara masuk melalui hidung, lalu melewati tenggorokan, bronkus, dan akhirnya sampai ke paru-paru. di dalam paru-paru, udara masuk ke alveolus yang merupakan tempat pertukaran oksigen dan karbon dioksida. di sinilah oksigen masuk ke darah dan karbon dioksida dikeluarkan.","saat menarik napas dalam, udara masuk sampai paru-paru. misalnya saat kita menarik napas, udara masuk melalui hidung lalu bergerak ke dada sampai paru-paru bekerja. proses ini terjadi berurutan agar oksigen bisa masuk dengan baik.","sistem pernapasan terdiri dari beberapa organ yang saling terhubung. dalam materi ini, manusia bernapas dengan paru-paru melalui hidung, tenggorokan, bronkus, bronkiolus, dan alveolus. proses ini penting karena tubuh perlu oksigen untuk menghasilkan energi dan membuang karbon dioksida.",https: www.omahbse.com ktsp file sd-5 ipa 013,8,38
147,organ tubuh manusia dan hewan,pernapasan manusia,jelaskan jalur udara dari luar sampai ke paru-paru.,"udara masuk melalui hidung, lalu melewati tenggorokan, bronkus, dan akhirnya sampai ke paru-paru. di dalam paru-paru, udara masuk ke alveolus yang merupakan tempat pertukaran oksigen dan karbon dioksida. di sinilah oksigen masuk ke darah dan karbon dioksida dikeluarkan.","saat menarik napas dalam, udara masuk sampai paru-paru. misalnya saat kita menarik napas, udara masuk melalui hidung lalu bergerak ke dada sampai paru-paru bekerja. proses ini terjadi berurutan agar oksigen bisa masuk dengan baik.","sistem pernapasan terdiri dari beberapa organ yang saling terhubung. dalam materi ini, manusia bernapas dengan paru-paru melalui hidung, tenggorokan, bronkus, bronkiolus, dan alveolus. proses ini penting karena tubuh perlu oksigen untuk menghasilkan energi dan membuang karbon dioksida.",https: www.omahbse.com ktsp file sd-5 ipa 013,8,38
148,organ tubuh manusia dan hewan,pernapasan manusia,kenapa kita jadi sesak napas kalau udara kotor?,"udara kotor mengandung debu, asap, dan zat berbahaya yang bisa masuk ke saluran pernapasan. zat ini dapat mengiritasi paru-paru dan mengganggu proses pertukaran oksigen. akibatnya, tubuh kekurangan oksigen dan kita merasa sesak napas.",menghirup asap kendaraan membuat dada terasa berat. keadaan seperti ini sering terjadi di jalan raya yang ramai kendaraan atau di tempat yang penuh asap dan debu. udara kotor membuat paru-paru bekerja lebih berat.,"pencemaran udara dapat mengganggu sistem pernapasan. dalam materi ini, manusia bernapas dengan paru-paru melalui hidung, tenggorokan, bronkus, bronkiolus, dan alveolus. proses ini penting karena tubuh perlu oksigen untuk menghasilkan energi dan membuang karbon dioksida.",https: www.omahbse.com ktsp file sd-5 ipa 013,8,33
149,organ tubuh manusia dan hewan,pernapasan manusia,apa alasan kita jadi sesak napas kalau udara kotor?,"udara kotor mengandung debu, asap, dan zat berbahaya yang bisa masuk ke saluran pernapasan. zat ini dapat mengiritasi paru-paru dan mengganggu proses pertukaran oksigen. akibatnya, tubuh kekurangan oksigen dan kita merasa sesak napas.",menghirup asap kendaraan membuat dada terasa berat. keadaan seperti ini sering terjadi di jalan raya yang ramai kendaraan atau di tempat yang penuh asap dan debu. udara kotor membuat paru-paru bekerja lebih berat.,"pencemaran udara dapat mengganggu sistem pernapasan. dalam materi ini, manusia bernapas dengan paru-paru melalui hidung, tenggorokan, bronkus, bronkiolus, dan alveolus. proses ini penting karena tubuh perlu oksigen untuk menghasilkan energi dan membuang karbon dioksida.",https: www.omahbse.com ktsp file sd-5 ipa 013,9,33
150,organ tubuh manusia dan hewan,pernapasan manusia,mengapa kita jadi sesak napas kalau udara kotor?,"udara kotor mengandung debu, asap, dan zat berbahaya yang bisa masuk ke saluran pernapasan. zat ini dapat mengiritasi paru-paru dan mengganggu proses pertukaran oksigen. akibatnya, tubuh kekurangan oksigen dan kita merasa sesak napas.",menghirup asap kendaraan membuat dada terasa berat. keadaan seperti ini sering terjadi di jalan raya yang ramai kendaraan atau di tempat yang penuh asap dan debu. udara kotor membuat paru-paru bekerja lebih berat.,"pencemaran udara dapat mengganggu sistem pernapasan. dalam materi ini, manusia bernapas dengan paru-paru melalui hidung, tenggorokan, bronkus, bronkiolus, dan alveolus. proses ini penting karena tubuh perlu oksigen untuk menghasilkan energi dan membuang karbon dioksida.",https: www.omahbse.com ktsp file sd-5 ipa 013,8,33
151,organ tubuh manusia dan hewan,pernapasan hewan,kenapa ikan tidak bisa hidup lama di darat?,"ikan tidak bisa hidup lama di darat karena bernapas menggunakan insang yang hanya bekerja di dalam air. insang mengambil oksigen yang terlarut dalam air, bukan dari udara. saat di darat, insang tidak dapat berfungsi dengan baik sehingga ikan kekurangan oksigen.",ikan akan megap-megap saat keluar dari air. contohnya ikan yang dikeluarkan dari air akan cepat lemah karena insangnya tidak lagi dapat bekerja dengan baik. hal ini membuktikan bahwa ikan memang bergantung pada air untuk bernapas.,"alat pernapasan hewan disesuaikan dengan lingkungan hidupnya. hewan memiliki alat pernapasan yang berbeda sesuai tempat hidupnya, seperti paru-paru, trakea, kulit, atau insang. perbedaan itu membuat hewan dapat bertahan hidup di lingkungan yang sesuai.",https: www.omahbse.com ktsp file sd-5 ipa 013,8,40
152,organ tubuh manusia dan hewan,pernapasan hewan,apa alasan ikan tidak bisa hidup lama di darat?,"ikan tidak bisa hidup lama di darat karena bernapas menggunakan insang yang hanya bekerja di dalam air. insang mengambil oksigen yang terlarut dalam air, bukan dari udara. saat di darat, insang tidak dapat berfungsi dengan baik sehingga ikan kekurangan oksigen.",ikan akan megap-megap saat keluar dari air. contohnya ikan yang dikeluarkan dari air akan cepat lemah karena insangnya tidak lagi dapat bekerja dengan baik. hal ini membuktikan bahwa ikan memang bergantung pada air untuk bernapas.,"alat pernapasan hewan disesuaikan dengan lingkungan hidupnya. hewan memiliki alat pernapasan yang berbeda sesuai tempat hidupnya, seperti paru-paru, trakea, kulit, atau insang. perbedaan itu membuat hewan dapat bertahan hidup di lingkungan yang sesuai.",https: www.omahbse.com ktsp file sd-5 ipa 013,9,40
153,organ tubuh manusia dan hewan,pernapasan hewan,mengapa ikan tidak bisa hidup lama di darat?,"ikan tidak bisa hidup lama di darat karena bernapas menggunakan insang yang hanya bekerja di dalam air. insang mengambil oksigen yang terlarut dalam air, bukan dari udara. saat di darat, insang tidak dapat berfungsi dengan baik sehingga ikan kekurangan oksigen.",ikan akan megap-megap saat keluar dari air. contohnya ikan yang dikeluarkan dari air akan cepat lemah karena insangnya tidak lagi dapat bekerja dengan baik. hal ini membuktikan bahwa ikan memang bergantung pada air untuk bernapas.,"alat pernapasan hewan disesuaikan dengan lingkungan hidupnya. hewan memiliki alat pernapasan yang berbeda sesuai tempat hidupnya, seperti paru-paru, trakea, kulit, atau insang. perbedaan itu membuat hewan dapat bertahan hidup di lingkungan yang sesuai.",https: www.omahbse.com ktsp file sd-5 ipa 013,8,40
154,organ tubuh manusia dan hewan,pernapasan hewan,apa bedanya cara bernapas manusia dan serangga?,"manusia bernapas menggunakan paru-paru, sedangkan serangga menggunakan trakea. pada manusia, oksigen masuk ke paru-paru lalu diedarkan oleh darah. sedangkan pada serangga, oksigen langsung masuk ke jaringan tubuh melalui saluran trakea tanpa melalui darah.","belalang punya lubang kecil di tubuh untuk bernapas. misalnya belalang bernapas melalui lubang kecil di tubuhnya, sedangkan manusia bernapas lewat hidung dan paru-paru. perbedaan ini menunjukkan adanya penyesuaian alat pernapasan.","sistem pernapasan tiap makhluk hidup berbeda-beda. hewan memiliki alat pernapasan yang berbeda sesuai tempat hidupnya, seperti paru-paru, trakea, kulit, atau insang. perbedaan itu membuat hewan dapat bertahan hidup di lingkungan yang sesuai.",https: www.omahbse.com ktsp file sd-5 ipa 013,7,33
155,organ tubuh manusia dan hewan,pernapasan hewan,apa perbedaan cara bernapas manusia dan serangga?,"manusia bernapas menggunakan paru-paru, sedangkan serangga menggunakan trakea. pada manusia, oksigen masuk ke paru-paru lalu diedarkan oleh darah. sedangkan pada serangga, oksigen langsung masuk ke jaringan tubuh melalui saluran trakea tanpa melalui darah.","belalang punya lubang kecil di tubuh untuk bernapas. misalnya belalang bernapas melalui lubang kecil di tubuhnya, sedangkan manusia bernapas lewat hidung dan paru-paru. perbedaan ini menunjukkan adanya penyesuaian alat pernapasan.","sistem pernapasan tiap makhluk hidup berbeda-beda. hewan memiliki alat pernapasan yang berbeda sesuai tempat hidupnya, seperti paru-paru, trakea, kulit, atau insang. perbedaan itu membuat hewan dapat bertahan hidup di lingkungan yang sesuai.",https: www.omahbse.com ktsp file sd-5 ipa 013,7,33
156,organ tubuh manusia dan hewan,pernapasan hewan,bagaimana perbedaan cara bernapas manusia dan serangga?,"manusia bernapas menggunakan paru-paru, sedangkan serangga menggunakan trakea. pada manusia, oksigen masuk ke paru-paru lalu diedarkan oleh darah. sedangkan pada serangga, oksigen langsung masuk ke jaringan tubuh melalui saluran trakea tanpa melalui darah.","belalang punya lubang kecil di tubuh untuk bernapas. misalnya belalang bernapas melalui lubang kecil di tubuhnya, sedangkan manusia bernapas lewat hidung dan paru-paru. perbedaan ini menunjukkan adanya penyesuaian alat pernapasan.","sistem pernapasan tiap makhluk hidup berbeda-beda. hewan memiliki alat pernapasan yang berbeda sesuai tempat hidupnya, seperti paru-paru, trakea, kulit, atau insang. perbedaan itu membuat hewan dapat bertahan hidup di lingkungan yang sesuai.",https: www.omahbse.com ktsp file sd-5 ipa 013,7,33
